αβαείο (avai'o);abbaye;FG
αβαθής;peu profond , sans profondeur;FG
αβάισσα;abesse;GF
αβάισσα, ηγουμένη;abesse;FG
άβακας;abaque;GF
αβάκιο;boulier, abaque, ardoise;GF
αβάκιο, άβακας;abaque;FG
αβάκιο, αριθμητήρι;boulier;FG
αβανγκάρντ;avant-garde;GF
αβανγκαρντισμός;avant-gardisme;FG
αβανιά;calomnie;GF
αβαντάζ;avantage;GF
αβαρία;avarie;GF
αβάς;abbé;GF
αβάς, ηγόυμενος;abbé;FG
αβασάνιστα;inconsidérément;FG
αβασάνιστος;inconsidéré;FG
αβάσιμες υποψίες;soupçons sans motif;FG
αβάσιμος;inconsistant;FG
αβάσταχτα;onéreusement;FG
άβατος;impraticable;FG
αβέβαια;précairement;FG
αβέβαιος;douteux;FG
αβέβαιος {α/ο};vacillant {e};GF
αβέβαιος {α/ο}, ασταθής {ές}, τρεμάμενος {η/ο};vacillant {e};FG
αβέβαιος {η/ο};aléatoire;GF
αβεβαιότητα;ambiguïté;GF
αβεβαιότητα, αμφιλεγόμενο, διφορούμενο;ambiguïté;FG
αβέρτα;volonté {à...};FG
αβίαστος;volontaire;FG
αβίζο;aviso;FG
αβιταμίνωση;avitaminose;FG
αβλαβής;sauf;GF
αβλαβής, εκτός;sauf;FG
αβοκάντο;avocat {2} {fruit};FG
άβολα;incommodément;FG
άβολος;inconfortable;FG
άβουλος;mou;GF
αβρά;tendrement;GF
αβρός {ή/ό};amène;FG
αβρός {ή/ό};gentil {ille};FG
αβρός {ή/ό};amène, gentil {ille};GF
αβρότητα;aménité;FG
άβυσσος;abysse;FG
άβυσσος;précipice;FG
άβυσσος;précipice, abîme, abysse;GF
αγαθιάρης;zozo;FG
αγαθιάρικος {η/ο};bonasse;FG
αγαθό;bien {2};GF
αγαθοεργία;bienfaisance;FG
αγαθοεργία;charité, bienfaisance;GF
αγαθότητα;candeur;GF
αγάλι;pacifiquement;FG
αγαλίαση;plaisir;GF
αγαλλίαση;allégresse;FG
άγαλμα;sculpture;FG
άγαλμα;statue;FG
άγαλμα;sculpture, statue;GF
αγαλματένιος;sculptural;FG
αγαμία;célibat;FG
άγαμος;célibataire;GF
άγαμος {η/ο};célibataire;GF
αγανάκτηση;dépit;FG
αγανακτισμένος;indigné;FG
αγαναχτώ;ressentir;FG
αγάπες;agapes;GF
αγάπες, φαγοπότι;agapes;FG
αγάπη ;amour;GF
αγάπη , αφοσίωση, έρωτας;amour;FG
αγαπημένο θέμα;cheval de bataille {n.} {figur;GF
αγαπημένο θέμα, ιδέα;cheval de bataille {n.} {figur;FG
αγαπημένος;favori;FG
αγαπημένος {η/ο};aimé {ée};FG
αγαπημε'νος-η-ο;aimé(e);FG
αγαπημε'νος-η-ο;favori(te);FG
αγαπημε'νος-η-ο;aimé(e), favori(te);GF
αγαπήτος;aimable;GF
αγαπητός;cher;GF
αγαπώ;affectionner;FG
αγαπώ;aimer, affectionner;GF
αγάς;agha;FG
αγαύη;agave;FG
αγβούρνος;ablette;GF
αγγείο;vaisseau, vase {récipient};GF
αγγείο, βάζο;vase {récipient};FG
αγγειογραφία;angiographie;FG
αγγειοδιασταλτικός;vasodilatateur;FG
αγγειοκινητικός {ή/ό};vasomoteur {trice};FG
αγγειοπλαστική;poterie;FG
αγγειοποίηση;vascularisation;GF
αγγειοσυσταλτικός;vasoconstricteur;FG
αγγείωμα;angiome;FG
αγγείωση;vascularisation;GF
αγγείωση, αγγειοποίηση;vascularisation;FG
αγγελάκι;angelot;FG
